nodes;migration;evaluations
s4;multikulti_elite_consensus;2506
s4;multikulti_elite_consensus;2267
s4;multikulti_elite_consensus;2064
s4;multikulti_elite_consensus;1753
s8;random_none;1290
s8;random_none;2492
s8;random_none;1100
s8;random_none;1457
s8;random_none;1379
s8;random_none;1040
s8;random_none;2575
s8;random_none;1052
s8;random_none;1242
s8;random_none;1772
s8;random_none;1594
s8;random_none;1486
s8;random_none;3283
s8;random_none;2670
s8;random_none;1320
s8;random_none;1355
s8;random_none;2237
s8;random_none;1141
s8;random_none;1385
s8;random_none;1391
s8;random_none;1451
s8;random_none;1653
s8;random_none;1284
s8;random_none;836
s8;random_none;1992
s8;random_none;2337
s8;random_none;1593
s8;random_none;2010
s8;random_none;1684
s8;random_none;1873
s2;multikulti_elite_consensus;3698
s2;multikulti_elite_consensus;2775
s2;multikulti_elite_consensus;2925
s2;multikulti_elite_consensus;3299
s2;multikulti_elite_consensus;2825
s2;multikulti_elite_consensus;3449
s2;multikulti_elite_consensus;3075
s2;multikulti_elite_consensus;2950
s2;multikulti_elite_consensus;3798
s2;multikulti_elite_consensus;3075
s2;multikulti_elite_consensus;3174
s2;multikulti_elite_consensus;3948
s2;multikulti_elite_consensus;2750
s2;multikulti_elite_consensus;3399
s2;multikulti_elite_consensus;3873
s2;multikulti_elite_consensus;3474
s2;multikulti_elite_consensus;3000
s2;multikulti_elite_consensus;3474
s2;multikulti_elite_consensus;3274
s2;multikulti_elite_consensus;3274
s2;multikulti_elite_consensus;3299
s2;multikulti_elite_consensus;3673
s2;multikulti_elite_consensus;3174
s2;multikulti_elite_consensus;3873
s2;multikulti_elite_consensus;3449
s2;multikulti_elite_consensus;3599
s2;multikulti_elite_consensus;2850
s2;multikulti_elite_consensus;3399
s2;multikulti_elite_consensus;3199
s2;multikulti_elite_consensus;3923
s2;best_none;4098
s2;best_none;2850
s2;best_none;3623
s2;best_none;3324
s2;best_none;3524
s2;best_none;3174
s2;best_none;3998
s2;best_none;3149
s2;best_none;3324
s2;best_none;3773
s2;best_none;3823
s2;best_none;4322
s2;best_none;3549
s2;best_none;3848
s2;best_none;4547
s2;best_none;3174
s2;best_none;3324
s2;best_none;2875
s2;best_none;3000
s2;best_none;2775
s2;best_none;3524
s2;best_none;3773
s2;best_none;3898
s2;best_none;3773
s2;best_none;3399
s2;best_none;3000
s2;best_none;2775
s2;best_none;3075
s2;best_none;3474
s2;best_none;3499
s4;random_none;2040
s4;random_none;1933
s4;random_none;1921
s4;random_none;2327
s4;random_none;2400
s4;random_none;2327
s4;random_none;2100
s4;random_none;3857
s4;random_none;2387
s4;random_none;2124
s4;random_none;1945
s4;random_none;2100
s4;random_none;1849
s4;random_none;1789
s4;random_none;2733
s4;random_none;2829
s4;random_none;2231
s4;random_none;2447
s4;random_none;2351
s4;random_none;3187
s4;random_none;1885
s4;random_none;2363
s4;random_none;2004
s4;random_none;2435
s4;random_none;1658
s4;random_none;1777
s4;random_none;1694
s4;random_none;1514
s4;random_none;2243
s4;random_none;2721
s8;multikulti_elite_best;1373
s8;multikulti_elite_best;1653
s8;multikulti_elite_best;2296
s8;multikulti_elite_best;1445
s8;multikulti_elite_best;1582
s8;multikulti_elite_best;1123
s8;multikulti_elite_best;1790
s8;multikulti_elite_best;1290
s8;multikulti_elite_best;1468
s8;multikulti_elite_best;1474
s8;multikulti_elite_best;896
s8;multikulti_elite_best;1885
s8;multikulti_elite_best;1730
s8;multikulti_elite_best;1986
s8;multikulti_elite_best;1695
s8;multikulti_elite_best;1296
s8;multikulti_elite_best;1302
s8;multikulti_elite_best;1367
s8;multikulti_elite_best;1623
s8;multikulti_elite_best;2203
s8;multikulti_elite_best;1802
s8;multikulti_elite_best;1861
s8;multikulti_elite_best;1671
s8;multikulti_elite_best;1540
s8;multikulti_elite_best;2141
s8;multikulti_elite_best;2016
s8;multikulti_elite_best;1070
s8;multikulti_elite_best;998
s8;multikulti_elite_best;1409
s8;multikulti_elite_best;1706
s4;multikulti_best;2351
s4;multikulti_best;1933
s4;multikulti_best;2542
s4;multikulti_best;1801
s4;multikulti_best;2602
s4;multikulti_best;2327
s4;multikulti_best;2219
s4;multikulti_best;2590
s4;multikulti_best;2219
s4;multikulti_best;2040
s4;multikulti_best;1909
s4;multikulti_best;3235
s4;multikulti_best;1670
s4;multikulti_best;2219
s4;multikulti_best;2399
s4;multikulti_best;3498
s4;multikulti_best;1849
s4;multikulti_best;2566
s4;multikulti_best;2267
s4;multikulti_best;2112
s4;multikulti_best;2040
s4;multikulti_best;2315
s4;multikulti_best;2136
s4;multikulti_best;1789
s4;multikulti_best;2219
s4;multikulti_best;2518
s4;multikulti_best;1789
s4;multikulti_best;2829
s4;multikulti_best;1885
s4;multikulti_best;2136
s2;multikulti_best;3424
s2;multikulti_best;3823
s2;multikulti_best;3249
s2;multikulti_best;3474
s2;multikulti_best;3898
s2;multikulti_best;3324
s2;multikulti_best;3798
s2;multikulti_best;3299
s2;multikulti_best;3923
s2;multikulti_best;3000
s2;multikulti_best;3324
s2;multikulti_best;3973
s2;multikulti_best;3324
s2;multikulti_best;3249
s2;multikulti_best;3549
s2;multikulti_best;3050
s2;multikulti_best;3623
s2;multikulti_best;3075
s2;multikulti_best;3399
s2;multikulti_best;3100
s2;multikulti_best;3224
s2;multikulti_best;3274
s2;multikulti_best;2725
s2;multikulti_best;3623
s2;multikulti_best;3848
s2;multikulti_best;2700
s2;multikulti_best;3000
s2;multikulti_best;3873
s2;multikulti_best;3000
s2;multikulti_best;3773
s8;multikulti_best;1587
s8;multikulti_best;1361
s8;multikulti_best;1516
s8;multikulti_best;1165
s8;multikulti_best;1117
s8;multikulti_best;1891
s8;multikulti_best;2093
s8;multikulti_best;1468
s8;multikulti_best;1415
s8;multikulti_best;2254
s8;multikulti_best;1944
s8;multikulti_best;1552
s8;multikulti_best;1772
s8;multikulti_best;1254
s8;multikulti_best;1117
s8;multikulti_best;1474
s8;multikulti_best;1296
s8;multikulti_best;1451
s8;multikulti_best;1415
s8;multikulti_best;1349
s8;multikulti_best;1439
s8;multikulti_best;2391
s8;multikulti_best;1260
s8;multikulti_best;2069
s8;multikulti_best;1225
s8;multikulti_best;1123
s8;multikulti_best;1582
s8;multikulti_best;1165
s8;multikulti_best;1439
s8;multikulti_best;950
